[2026-01-06 17:49:49] [DE] n_iter = 223, time = 0.048 s, [Ackley] best_obj = 1.248891e+00
[2026-01-06 17:49:49] [DE] n_iter = 224, time = 0.048 s, [Ackley] best_obj = 1.248891e+00
[2026-01-06 17:49:49] [DE] n_iter = 225, time = 0.048 s, [Ackley] best_obj = 1.248891e+00
[2026-01-06 17:49:49] [DE] n_iter = 226, time = 0.048 s, [Ackley] best_obj = 1.248891e+00
[2026-01-06 17:49:49] [DE] n_iter = 227, time = 0.048 s, [Ackley] best_obj = 1.158864e+00
[2026-01-06 17:49:49] [DE] n_iter = 228, time = 0.049 s, [Ackley] best_obj = 1.158864e+00
[2026-01-06 17:49:49] [DE] n_iter = 229, time = 0.049 s, [Ackley] best_obj = 1.158864e+00
[2026-01-06 17:49:49] [DE] n_iter = 230, time = 0.049 s, [Ackley] best_obj = 8.898711e-01
[2026-01-06 17:49:49] [DE] n_iter = 231, time = 0.049 s, [Ackley] best_obj = 8.898711e-01
[2026-01-06 17:49:49] [DE] n_iter = 232, time = 0.049 s, [Ackley] best_obj = 8.898711e-01
[2026-01-06 17:49:49] [DE] n_iter = 233, time = 0.049 s, [Ackley] best_obj = 8.898711e-01
[2026-01-06 17:49:49] [DE] n_iter = 234, time = 0.049 s, [Ackley] best_obj = 8.898711e-01
[2026-01-06 17:49:49] [DE] n_iter = 235, time = 0.050 s, [Ackley] best_obj = 8.898711e-01
[2026-01-06 17:49:49] [DE] n_iter = 236, time = 0.050 s, [Ackley] best_obj = 8.898711e-01
[2026-01-06 17:49:49] [DE] n_iter = 237, time = 0.050 s, [Ackley] best_obj = 8.898711e-01
[2026-01-06 17:49:49] [DE] n_iter = 238, time = 0.050 s, [Ackley] best_obj = 8.898711e-01
[2026-01-06 17:49:49] [DE] n_iter = 239, time = 0.050 s, [Ackley] best_obj = 7.561834e-01
[2026-01-06 17:49:49] [DE] n_iter = 240, time = 0.050 s, [Ackley] best_obj = 7.561834e-01
[2026-01-06 17:49:49] [DE] n_iter = 241, time = 0.051 s, [Ackley] best_obj = 7.561834e-01
[2026-01-06 17:49:49] [DE] n_iter = 242, time = 0.051 s, [Ackley] best_obj = 7.561834e-01
[2026-01-06 17:49:49] [DE] n_iter = 243, time = 0.051 s, [Ackley] best_obj = 7.561834e-01
[2026-01-06 17:49:49] [DE] n_iter = 244, time = 0.051 s, [Ackley] best_obj = 7.561834e-01
[2026-01-06 17:49:49] [DE] n_iter = 245, time = 0.051 s, [Ackley] best_obj = 7.561834e-01
[2026-01-06 17:49:49] [DE] n_iter = 246, time = 0.051 s, [Ackley] best_obj = 6.459497e-01
[2026-01-06 17:49:49] [DE] n_iter = 247, time = 0.051 s, [Ackley] best_obj = 6.459497e-01
[2026-01-06 17:49:49] [DE] n_iter = 248, time = 0.052 s, [Ackley] best_obj = 6.459497e-01
[2026-01-06 17:49:49] [DE] n_iter = 249, time = 0.052 s, [Ackley] best_obj = 6.459497e-01
[2026-01-06 17:49:49] [DE] n_iter = 250, time = 0.052 s, [Ackley] best_obj = 6.459497e-01
[2026-01-06 17:49:49] [DE] n_iter = 251, time = 0.052 s, [Ackley] best_obj = 6.097365e-01
[2026-01-06 17:49:49] [DE] n_iter = 252, time = 0.052 s, [Ackley] best_obj = 5.835121e-01
[2026-01-06 17:49:49] [DE] n_iter = 253, time = 0.052 s, [Ackley] best_obj = 5.835121e-01
